text,label
I love this product it works perfectly,positive
This movie was amazing and inspiring,positive
The customer service was excellent and helpful,positive
I am very happy with the results,positive
The experience was fantastic and enjoyable,positive
This is the worst product I have ever bought,negative
I am very disappointed with this service,negative
The movie was boring and too long,negative
Terrible experience I will never come back,negative
The quality of this item is very poor,negative
The product arrived yesterday,neutral
I watched the movie last night,neutral
Customer support responded today,neutral
The package was delivered in the morning,neutral
This item is available in the store,neutral
The software update was installed today,neutral
I tried the new restaurant downtown,neutral
The meeting will start at noon,neutral
The book arrived in good condition,neutral
The phone battery lasted all day,neutral
